,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
54,ACET,106.83M ,-120.73M ,-- ,-- ,-- ,9.72 ,0.41 ,2.14 ,-1.21 ,12/31/2023,3/31/2024,0.00%,0.00%,-27.20%,-53.25%,--,--,--,--,-123.63M,-139.79M,-2.9400,--,247.59M,3.01,20.04M,7.74%,14.34,3.15,-92.47M,-57M,1.73,22.70%,1.17M,664.22k,82.17M,82.17M,45.25M,6.94M,4.27,10.00%,8.44%,7.85M,--,--,0.00,0.00%,0.00%,9/16/2020,--,1:7,9/16/2020,,
55,ACGL,37.77B ,40.60B ,7.94 ,11.96 ,-- ,2.72 ,2.04 ,2.89 ,-- ,12/31/2023,3/31/2024,33.65%,29.84%,4.35%,29.05%,14.41B,38.98,24.40%,--,4.06B,4.81B,12.67,56.60%,3.17B,8.48,2.73B,14.09%,1.79,49.56,6.35B,1.05B,0.60,22.70%,1.79M,2.3M,375.49M,375.49M,358.86M,4.62M,2.97,1.43%,1.23%,4.25M,--,--,0.00,0.00%,0.00%,--,--,3:1,6/21/2018,,
56,ACGLN,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,3/31/2024,33.65%,29.84%,4.35%,29.05%,14.41B,38.98,24.40%,--,4.06B,4.81B,4.69,56.60%,3.17B,8.48,2.73B,14.09%,1.79,49.56,6.35B,1.05B,0.60,22.70%,27.28k,18.41k,--,--,358.86M,11.65k,0.38,--,--,40.74k,1.14,5.86%,0.00,0.00%,--,9/30/2024,6/14/2024,--,--,,
57,ACGLO,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,3/31/2024,33.65%,29.84%,4.35%,29.05%,14.41B,38.98,24.40%,--,4.06B,4.81B,4.69,56.60%,3.17B,8.48,2.73B,14.09%,1.79,49.56,6.35B,1.05B,0.60,22.70%,14.92k,9.56k,402.94M,--,358.86M,12.93k,0.83,--,--,9.81k,1.36,6.05%,0.00,0.00%,--,9/30/2024,6/14/2024,--,--,,
58,ACHC,6.46B ,8.37B ,-- ,19.68 ,-- ,2.12 ,2.25 ,2.80 ,39.05 ,12/31/2023,3/31/2024,-0.38%,16.78%,6.20%,-0.12%,2.99B,32.79,9.10%,--,660.52M,-11.3M,-0.13,15.70%,77.3M,0.83,2.01B,67.61%,1.27,31.30,96.65M,-50.72M,1.32,22.70%,884.36k,1.1M,92.77M,92.77M,90.38M,3.27M,3.33,3.60%,3.53%,3.52M,--,--,0.00,0.00%,0.00%,--,--,1:4,11/1/2011,,
59,ACHL,37.79M ,-70.32M ,-- ,-- ,-- ,-- ,0.29 ,-- ,1.74 ,12/31/2023,3/31/2024,0.00%,0.00%,-25.08%,-40.84%,--,--,--,--,-66.12M,-64.43M,-1.6000,--,112.32M,2.73,4.21M,3.23%,9.63,3.17,-48.1M,-30.96M,1.34,22.70%,225.31k,52.79k,42.7M,42.7M,24.93M,13.81k,0.07,0.05%,0.03%,37.83k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
60,ACHR,1.07B ,695.74M ,6.95 ,-- ,-- ,-- ,2.82 ,-- ,-0.39 ,12/31/2023,3/31/2024,0.00%,0.00%,-58.65%,-116.89%,--,--,--,--,-469.3M,-461.3M,-1.5900,--,405.8M,1.25,33.8M,8.91%,6.01,1.18,-294.4M,-268.09M,2.35,22.70%,5.15M,6.74M,285.34M,323.56M,206.24M,55.26M,13.85,26.95%,17.08%,54.49M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
61,ACHV,183.73M ,134.52M ,-- ,-- ,-- ,-- ,3.71 ,-- ,-2.42 ,12/31/2023,3/31/2024,0.00%,0.00%,-33.93%,-109.49%,--,--,--,--,-24.43M,-27.32M,-1.26,--,66.4M,1.93,17.19M,34.77%,3.29,1.44,-21.46M,-13.59M,1.35,22.70%,116.27k,158.22k,34.34M,34.34M,32.53M,750.54k,7.05,2.85%,2.19%,713.28k,--,--,0.00,0.00%,0.00%,7/31/2020,--,1:20,7/31/2020,,
62,ACI,11.57B ,25.62B ,8.99 ,8.24 ,1.62 ,0.15 ,4.21 ,0.32 ,5.66 ,2/24/2024,2/24/2024,1.64%,2.68%,5.62%,58.86%,79.24B,137.71,0.40%,--,4.06B,1.3B,2.23,-19.50%,212M,0.37,14.24B,518.27%,0.84,4.77,2.66B,1.21B,0.34,22.70%,2.47M,2.15M,577.41M,577.41M,330.48M,12.75M,6.02,3.04%,2.21%,13.18M,0.48,2.40%,0.48,2.40%,21.52%,5/10/2024,4/25/2024,--,--,,
63,ACIC,525.64M ,389.11M ,6.74 ,-- ,-- ,1.87 ,2.58 ,1.44 ,-- ,12/31/2023,9/30/2021,24.58%,-10.03%,4.84%,51.33%,269.43M,6.03,-23.50%,--,104.87M,75.43M,1.63,--,188.28M,4.36,159.19M,46.73%,1.07,7.42,92.64M,94.52M,-0.23,22.70%,292.6k,239.2k,47.83M,47.83M,21.45M,647.87k,2.94,2.70%,1.35%,807.38k,--,--,0.00,0.00%,0.00%,3/16/2022,3/8/2022,--,--,,
64,ACIU,446.03M ,332.80M ,11.63 ,-- ,-- ,24.21 ,2.76 ,20.15 ,-0.76 ,12/31/2023,3/31/2024,0.00%,-379.17%,-20.85%,-36.68%,14.8M,0.17,--,--,-54.5M,-54.58M,-0.6800,--,104.82M,1.05,3.33M,2.30%,7.78,1.46,-42.58M,-24.21M,1.30,22.70%,857.4k,465.35k,98.9M,103.18M,41.92M,1.61M,0.91,3.05%,1.63%,509.36k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
65,ACIW,3.63B ,4.50B ,25.51 ,19.53 ,-- ,2.53 ,2.89 ,3.04 ,11.49 ,12/31/2023,3/31/2024,9.88%,3.85%,5.47%,12.05%,1.48B,13.67,9.10%,--,330.86M,146.07M,1.35,--,183.39M,1.74,1.07B,85.19%,1.37,11.83,251.69M,214.85M,1.20,22.70%,547.66k,596.6k,105.44M,105.44M,104.42M,2.66M,4.31,3.62%,2.52%,2.42M,--,--,0.00,0.00%,0.00%,--,--,3:1,7/11/2014,,
66,ACLS,4.14B ,3.65B ,16.81 ,-- ,-- ,3.73 ,4.59 ,3.24 ,12.03 ,12/31/2023,3/31/2024,22.16%,22.40%,14.19%,31.20%,1.13B,34.49,-0.60%,--,279.12M,250.16M,7.57,8.20%,530.19M,16.3,74.44M,8.26%,4.00,27.66,164.53M,102.03M,1.54,22.70%,516.89k,556.8k,32.53M,32.53M,32.13M,1.91M,3.62,8.64%,5.86%,2.02M,--,--,0.00,0.00%,0.00%,--,--,1:4,7/1/2016,,
67,ACLX,2.90B ,2.41B ,-- ,-- ,-- ,20.39 ,5.84 ,18.31 ,-6.52 ,12/31/2023,3/31/2024,-38.39%,-40.27%,-6.71%,-12.63%,131.66M,2.66,119.20%,--,-72.8M,-50.54M,-1.03,--,573.92M,10.73,87.36M,17.59%,5.46,9.32,-6.38M,-61.75M,0.23,22.70%,463.93k,404.58k,53.5M,53.5M,34.69M,3.87M,7.88,8.30%,7.24%,4.03M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
68,ACM,11.67B ,13.19B ,98.57 ,16.98 ,0.29 ,0.77 ,5.31 ,0.86 ,22.93 ,9/30/2023,3/31/2024,-0.09%,5.54%,4.65%,6.60%,15.35B,111.89,13.00%,--,1.02B,116.48M,0.87,-98.70%,1.2B,8.82,2.84B,118.75%,1.06,16.18,801.94M,787.44M,1.21,22.70%,779.51k,1.07M,136.13M,137.56M,135.36M,1.39M,1.94,1.34%,1.02%,1.06M,0.88,1.03%,0.80,0.93%,66.67%,7/19/2024,7/3/2024,--,--,,
69,ACMR,1.44B ,1.29B ,17.77 ,14.56 ,-- ,2.39 ,1.81 ,2.02 ,9.03 ,12/31/2023,3/31/2024,13.79%,16.58%,4.89%,12.26%,635.66M,10.49,105.00%,--,121.06M,87.64M,1.31,144.00%,278.32M,4.49,121.16M,12.61%,2.31,12.84,-54.48M,-110.39M,1.44,22.70%,1.28M,1.23M,56.99M,62.01M,47.11M,4.06M,3.11,8.85%,6.54%,4.06M,--,--,0.00,0.00%,0.00%,--,--,3:1,3/24/2022,,
70,ACN,182.60B ,180.63B ,26.33 ,22.22 ,1.87 ,2.87 ,6.73 ,2.80 ,16.75 ,8/31/2023,2/29/2024,10.89%,13.68%,12.89%,27.38%,64.57B,102.56,-0.10%,--,11.28B,7.03B,11.04,9.90%,5.13B,8.15,3.16B,11.30%,1.26,43.13,9.3B,8.53B,1.21,22.70%,3.13M,3.75M,628.73M,628.73M,627.5M,7.16M,2.4,1.14%,1.14%,7.15M,5.16,1.78%,4.99,1.72%,43.70%,5/15/2024,4/10/2024,--,--,,
71,ACNB,263.45M ,-- ,8.94 ,-- ,-- ,2.52 ,0.94 ,5.15 ,-- ,12/31/2023,3/31/2024,28.19%,35.21%,1.22%,10.99%,104.41M,12.28,-5.50%,--,--,29.43M,3.45,-25.00%,53.13M,6.22,275.05M,--,--,32.78,36.5M,--,0.61,22.70%,12.3k,10.47k,8.54M,8.54M,8.16M,64.82k,5.6,0.79%,0.76%,62.91k,1.28,4.15%,1.16,3.71%,33.62%,6/14/2024,5/31/2024,105:100,11/28/2007,,
72,ACNT,102.71M ,133.62M ,3.01 ,-- ,-- ,0.56 ,1.01 ,0.73 ,3.98 ,12/31/2023,3/31/2024,-14.76%,-11.86%,-7.30%,-28.10%,182.43M,18.01,-19.60%,--,-16.66M,-32.46M,-3.21,--,1.3M,0.13,32.2M,31.58%,3.06,10.07,9.95M,54.37M,0.74,22.70%,8.95k,22.87k,10.13M,10.13M,6.42M,9.81k,1.56,0.14%,0.10%,6.92k,--,--,0.00,0.00%,0.00%,12/12/2018,11/29/2018,3:2,6/13/1995,,
73,ACON,2.41M ,945.24k ,-- ,-- ,-- ,2.53 ,0.96 ,15.74 ,-- ,12/31/2023,3/31/2024,0.00%,"-12,609.32%",-111.16%,-337.53%,60.05k,0.03,-60.30%,--,-4.8M,-6.13M,-13.4700,--,2.18M,0.27,670.15k,26.75%,2.08,0.35,-4.87M,-2.72M,0.46,22.60%,2.64M,967.16k,8.2M,8.2M,8.03M,224.79k,0.04,2.75%,2.74%,66.22k,--,--,0.00,0.00%,0.00%,--,--,1:16,1/4/2024,,
74,ACONW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,"-12,609.32%",-111.16%,-337.53%,60.05k,0.03,-60.30%,--,-4.8M,-6.13M,-6.5760,--,2.18M,0.27,670.15k,26.75%,2.08,-14.17,-4.87M,-2.72M,0.46,22.60%,--,--,--,--,8.03M,,,,,,--,--,0.00,0.00%,--,--,--,--,--,,
75,ACP,354.35M ,-- ,6.54 ,-- ,-- ,11.23 ,1.04 ,14.56 ,-- ,10/31/2023,10/31/2023,80.31%,79.77%,4.93%,10.32%,37.69M,0.72,41.70%,--,--,28.17M,1.04,--,21.51k,0,105M,27.64%,9.03,6.52,-855.01k,5.96M,0.99,22.60%,349.81k,326.09k,52.11M,52.11M,--,1.06M,2.45,--,2.04%,874.97k,1.2,17.65%,1.20,17.65%,115.38%,1/31/2019,5/22/2024,1021:1000,5/19/2021,,
76,ACR,100.36M ,-- ,18.01 ,-- ,-- ,2.23 ,0.23 ,37.05 ,-- ,12/31/2023,3/31/2024,32.11%,-7.40%,1.10%,5.53%,78.14M,9.49,-13.10%,--,--,5.94M,0.70,110.60%,84.6M,11.22,1.67B,376.82%,71.72,59.54,39.84M,--,2.01,22.60%,21.87k,13.26k,7.96M,7.96M,7.19M,77.27k,4.79,1.20%,0.97%,27.49k,--,--,0.00,0.00%,0.00%,4/28/2020,12/30/2019,1:3,2/17/2021,,
77,ACRE,382.64M ,-- ,10.95 ,7.34 ,-- ,11.03 ,0.64 ,53.97 ,-- ,12/31/2023,3/31/2024,-122.34%,79.12%,-1.97%,-6.78%,36.58M,0.67,647.20%,--,--,-44.75M,-0.83,--,99.52M,1.83,1.48B,246.15%,99.67,11.05,46.91M,--,1.48,22.60%,585.31k,632.3k,54.51M,54.51M,52.4M,2.32M,3.96,4.39%,4.27%,1.88M,1,14.25%,1.24,17.66%,"2,266.67%",7/16/2024,6/28/2024,--,--,,
78,ACRS,76.25M ,-42.43M ,-- ,-- ,-- ,2.44 ,0.54 ,10.67 ,-3.76 ,12/31/2023,3/31/2024,-248.28%,-672.69%,-31.90%,-48.47%,31.12M,0.44,-5.10%,--,--,-77.26M,-1.0900,--,128.17M,1.8,3.47M,2.45%,6.74,1.99,-72.79M,-40.25M,0.07,22.60%,706.72k,494.97k,71.26M,71.26M,60.04M,4.87M,6.24,8.15%,6.83%,4.99M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
79,ACRV,233.74M ,128.21M ,-- ,-- ,-- ,-- ,2.16 ,-- ,-14.47 ,12/31/2023,3/31/2024,0.00%,0.00%,-30.26%,-47.77%,--,--,--,--,-69.74M,-64.12M,-2.89,--,109.97M,3.56,4.45M,4.12%,12.40,4.77,-48.37M,-28.6M,--,22.60%,791.01k,109.03k,30.88M,30.88M,12.05M,1.05M,4.06,9.01%,3.41%,1.03M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
80,ACST,30.53M ,5.44M ,-- ,-- ,-- ,-- ,0.47 ,-- ,-- ,3/31/2023,12/31/2023,0.00%,0.00%,-7.92%,-48.05%,--,--,--,--,-12.21M,-38.77M,-5.6800,--,25.11M,2.67,24k,0.04%,15.19,6.88,-13.57M,-7.84M,1.62,22.60%,19.76k,14.9k,9.4M,9.4M,6.37M,1.11k,0.08,0.01%,0.01%,3.82k,--,--,0.00,0.00%,0.00%,--,--,1:6,7/10/2023,,
81,ACT,4.70B ,4.83B ,7.39 ,7.65 ,-- ,4.13 ,1.00 ,4.15 ,-- ,12/31/2023,3/31/2024,55.87%,75.07%,9.10%,14.44%,1.16B,7.28,3.80%,--,--,650.51M,4.04,-8.50%,624.29M,3.97,746.09M,15.83%,1.06,29.89,700M,513.45M,0.56,22.60%,197.61k,180.34k,157.29M,157.29M,29.3M,1.01M,5.36,3.57%,0.64%,884.25k,0.74,2.48%,0.66,2.21%,15.84%,6/13/2024,5/31/2024,--,--,,
82,ACTG,521.31M ,38.48M ,8.57 ,-- ,-- ,3.68 ,0.92 ,0.29 ,0.54 ,12/31/2023,3/31/2024,42.66%,-8.58%,3.08%,12.12%,134.62M,1.53,64.30%,--,45.21M,49M,0.61,--,498.43M,4.98,15.6M,2.65%,21.40,5.68,36.68M,17.04M,0.52,22.60%,277.22k,215.73k,100.02M,100.02M,36.89M,914.11k,4.55,2.44%,0.91%,743.55k,--,--,0.00,0.00%,0.00%,11/30/2015,11/4/2015,--,--,,
83,ACU,133.44M ,170.53M ,7.33 ,-- ,-- ,0.73 ,1.35 ,0.89 ,5.41 ,12/31/2023,3/31/2024,9.67%,5.69%,5.35%,20.58%,190.62M,52.96,-1.90%,--,18.85M,18.44M,4.97,65.30%,2.44M,0.67,39.54M,39.90%,4.51,27.06,11.06M,6.12M,0.70,22.60%,24.58k,28.58k,3.66M,3.66M,3.2M,37.37k,1.72,1.66%,1.02%,41.69k,0.6,1.65%,0.58,1.59%,11.67%,4/19/2024,3/27/2024,4:3,7/26/1983,,
84,ACV,217.68M ,-- ,11.73 ,-- ,-- ,2.53 ,1.01 ,3.40 ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,--,1.79,--,--,--,--,--,--,--,--,--,--,22.60%,29.69k,57.83k,10.37M,10.37M,--,,,,,,2.16,12.33%,0.00,0.00%,--,3/1/2018,11/10/2023,--,--,,
85,ACVA,3.03B ,2.82B ,-- ,625.00 ,-- ,5.83 ,6.62 ,5.55 ,-18.12 ,12/31/2023,3/31/2024,-15.28%,-12.94%,-5.31%,-16.51%,507.3M,3.15,21.80%,--,-73.07M,-77.53M,-0.49,--,341.48M,2.07,156.89M,34.24%,1.62,2.78,-17.89M,-45.31M,1.54,22.60%,1.04M,883.43k,147.96M,165.09M,124.18M,9.31M,9.79,6.33%,5.64%,8.95M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
86,ACXP,38.02M ,29.10M ,-- ,-- ,-- ,-- ,6.34 ,-- ,-3.54 ,12/31/2023,3/31/2024,0.00%,0.00%,-121.65%,-283.87%,--,--,--,--,--,-16.05M,-1.1800,--,8.92M,0.56,--,--,2.93,0.38,-10.93M,-4.91M,-1.70,22.60%,76.04k,31.15k,15.84M,15.84M,13.43M,595.64k,8.63,4.43%,3.76%,579.12k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
87,ADAG,125.85M ,38.22M ,-- ,-- ,-- ,6.89 ,1.78 ,2.11 ,1.12 ,12/31/2023,12/31/2023,-104.61%,"-2,288.81%",-11.06%,-24.66%,18.11M,0.41,-84.80%,--,-22.74M,-18.95M,-0.4400,--,109.93M,1.99,22.31M,31.61%,3.61,1.60,-28.45M,-23.52M,0.62,22.60%,32.4k,14.94k,44.16M,55.74M,12.71M,11.1k,0.26,0.03%,0.03%,14.16k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
88,ADAP,263.23M ,143.27M ,-- ,-- ,-- ,12.36 ,10.80 ,7.80 ,-- ,12/31/2023,3/31/2024,0.00%,-867.58%,-44.57%,-301.91%,18.36M,0.08,-88.10%,--,-183.91M,-163.41M,-0.7300,--,143.65M,0.09,23.69M,97.20%,2.81,0.09,-135.55M,-95.08M,2.33,22.60%,1.51M,3.34M,255.56M,226.17M,1.02B,3.44M,3.3,2.02%,1.35%,3.41M,--,--,0.00,0.00%,0.00%,3/30/2018,--,--,--,,
89,ADBE,206.07B ,203.34B ,43.93 ,25.58 ,1.71 ,10.57 ,13.33 ,10.20 ,28.44 ,12/1/2023,3/1/2024,24.08%,36.80%,15.72%,32.37%,19.94B,43.76,11.30%,--,7.59B,4.8B,10.49,-50.30%,6.82B,15.22,4.09B,26.43%,1.05,34.13,6.78B,6.73B,1.27,22.60%,3.57M,3.75M,448M,480.15M,446.75M,8.01M,2.99,1.79%,1.79%,7.19M,--,--,0.00,0.00%,0.00%,--,3/24/2005,2:1,5/24/2005,,
90,ADC,6.05B ,8.73B ,35.57 ,33.22 ,-- ,10.50 ,1.21 ,15.58 ,18.13 ,12/31/2023,3/31/2024,30.91%,48.84%,2.29%,3.48%,560.33M,5.73,18.00%,--,430.67M,165.35M,1.69,7.80%,13.41M,0.13,2.54B,48.99%,1.17,49.84,400.57M,332.62M,0.56,22.60%,854.65k,768.6k,100.63M,100.97M,98.49M,3.78M,4.58,5.25%,3.75%,4.04M,3,4.99%,2.94,4.89%,173.96%,6/14/2024,5/31/2024,--,--,,
91,ADCT,350.26M ,240.31M ,-- ,-- ,-- ,4.36 ,-- ,3.50 ,-- ,12/31/2023,3/31/2024,0.00%,-186.19%,-24.08%,--,68.62M,0.83,-4.90%,--,-148.13M,-227.28M,-2.7700,--,234.28M,2.83,434.34M,--,4.61,-2.35,-147.39M,-98.78M,1.62,22.60%,585.74k,735k,96.23M,96.23M,65.55M,1M,1.72,1.49%,1.04%,888.13k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
92,ADD,4.72M ,4.48M ,-- ,-- ,-- ,0.43 ,0.19 ,0.71 ,-0.24 ,6/30/2023,6/30/2023,0.00%,0.00%,-42.64%,-103.47%,--,--,--,--,-22.63M,-37.85M,-4.1300,--,239.47k,0.01,583.91k,2.36%,3.01,1.53,-7.88M,2.81M,2.17,22.60%,414.03k,1.92M,22.51M,25.81M,19.22M,115.11k,1.17,0.52%,0.51%,231.34k,--,--,0.00,0.00%,0.00%,--,--,1:40,9/26/2022,,
93,ADEA,1.25B ,1.72B ,32.94 ,8.70 ,-- ,3.66 ,3.58 ,4.84 ,8.53 ,12/31/2023,3/31/2024,11.06%,26.73%,6.16%,11.67%,354.89M,3.31,-28.90%,--,204.99M,39.25M,0.35,-96.90%,88.99M,0.82,556.47M,159.01%,2.23,3.23,156.63M,138.36M,1.14,22.60%,458.85k,394.17k,108.51M,108.51M,105.85M,3.18M,7.13,5.06%,2.93%,3.38M,0.2,1.73%,0.20,1.74%,57.14%,6/18/2024,5/28/2024,--,--,,
94,ADI,116.84B ,122.53B ,55.01 ,37.31 ,3.24 ,11.26 ,3.31 ,11.71 ,25.76 ,10/28/2023,5/4/2024,20.45%,18.16%,3.42%,6.01%,10.46B,21.05,-33.80%,--,4.87B,2.14B,4.29,-69.10%,2.36B,4.76,8.12B,23.03%,1.58,71.04,4.28B,2.88B,1.12,22.60%,3.31M,3.25M,496.22M,496.22M,493.72M,11.42M,3.7,2.31%,2.30%,8.54M,3.68,1.56%,3.56,1.51%,81.78%,6/17/2024,6/4/2024,2:1,3/16/2000,,
95,ADIL,5.55M ,3.43M ,-- ,-- ,-- ,-- ,0.91 ,-- ,-0.31 ,12/31/2023,3/31/2024,0.00%,0.00%,-76.33%,-297.26%,--,--,--,--,-6.46M,-11.24M,-4.9800,--,5.03M,1.19,--,--,9.48,1.51,-6.13M,-3.29M,1.29,22.60%,2.7M,376.33k,4.23M,4.23M,4.11M,132.32k,0.27,3.23%,3.13%,1.01M,--,--,0.00,0.00%,0.00%,--,--,1:25,8/7/2023,,
96,ADM,30.63B ,41.09B ,10.81 ,11.24 ,-- ,0.36 ,1.32 ,0.45 ,7.43 ,12/31/2023,3/31/2024,3.32%,3.26%,3.86%,12.36%,91.71B,172.47,-9.20%,--,4.52B,3.04B,5.73,-37.70%,830M,1.68,11.29B,47.95%,1.47,46.25,6.77B,4.74B,0.74,22.60%,4.5M,4.15M,494.44M,494.44M,489.94M,9.49M,2.46,2.19%,1.92%,8.83M,2,3.23%,1.85,2.99%,32.29%,9/8/2021,5/15/2024,105:100,8/30/2001,,
97,ADMA,2.43B ,2.53B ,-- ,28.33 ,-- ,8.43 ,15.82 ,8.93 ,90.13 ,12/31/2023,3/31/2024,-1.29%,26.65%,8.51%,-2.43%,283.18M,1.25,43.90%,--,55.47M,-3.64M,-0.02,--,45.33M,0.2,141.43M,92.01%,5.21,0.66,21.3M,7.84M,0.48,22.60%,2.79M,3.13M,231.81M,231.81M,227.23M,8.44M,2.92,3.75%,3.64%,8.11M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
98,ADN,9.06M ,16.51M ,-- ,-- ,-- ,1.20 ,0.28 ,3.11 ,0.45 ,12/31/2022,9/30/2023,0.00%,-922.23%,-33.09%,-133.29%,5.31M,2.93,-47.30%,--,-44.77M,-93.29M,-52.5000,--,3.66M,1.76,11.11M,34.11%,1.84,15.74,-26.3M,-36.02M,0.17,22.60%,35.23k,33.15k,2.59M,2.59M,1.74M,106.16k,2.49,4.92%,4.10%,83.32k,--,--,0.00,0.00%,0.00%,--,--,1:30,5/14/2024,,
99,ADNT,2.50B ,4.13B ,17.09 ,8.67 ,0.34 ,0.17 ,1.21 ,0.27 ,5.50 ,9/30/2023,3/31/2024,1.04%,3.01%,2.96%,9.83%,15.19B,163.82,-4.10%,--,784M,158M,1.63,--,905M,10.07,2.79B,113.33%,1.13,23.10,619M,361.12M,2.32,22.60%,1.1M,1.09M,89.82M,89.82M,88.46M,4.91M,4.31,7.76%,5.46%,5.64M,--,--,0.00,0.00%,0.00%,11/15/2018,10/23/2018,--,--,,
100,ADNWW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,-922.23%,-33.09%,-133.29%,5.31M,2.93,-47.30%,--,-44.77M,-93.29M,--,--,3.66M,1.76,11.11M,34.11%,1.84,--,-26.3M,-36.02M,0.17,22.60%,--,--,--,--,1.74M,,,,,,--,--,--,--,--,--,--,--,--,,
101,ADP,101.04B ,101.05B ,27.58 ,24.45 ,2.79 ,5.40 ,21.84 ,5.34 ,17.66 ,6/30/2023,3/31/2024,19.56%,29.56%,4.96%,88.92%,18.91B,45.97,6.60%,--,5.49B,3.7B,8.96,13.60%,3.29B,8.04,3.4B,73.38%,1.01,11.29,4.04B,4.82B,0.79,22.60%,1.61M,1.63M,409.29M,409.29M,408.44M,4.14M,2.98,1.01%,1.01%,4.4M,5.6,2.27%,5.30,2.15%,59.22%,7/1/2024,6/14/2024,1139:1000,10/1/2014,,
102,ADPT,514.32M ,301.94M ,43.96 ,-- ,-- ,2.90 ,1.87 ,1.73 ,-- ,12/31/2023,3/31/2024,-123.24%,-116.45%,-17.10%,-61.58%,174.5M,1.20,11.20%,--,-171.15M,-215.06M,-1.4900,--,308.87M,2.1,228.04M,82.99%,4.51,1.87,-135.52M,-65.73M,1.34,22.60%,1.73M,1.81M,147.37M,147.37M,81.72M,13.14M,7.21,11.45%,8.92%,10.01M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
103,ADRT,60.40M ,61.16M ,-- ,-- ,-- ,-- ,1.31 ,-- ,607.05 ,12/31/2023,3/31/2024,0.00%,0.00%,-1.30%,--,--,--,--,--,--,-30.96k,-0.04,--,134.55k,0.05,887.74k,--,0.08,-1.97,-1.48M,878.35k,1.27,22.60%,14.91k,89.67k,2.94M,2.94M,67.17k,555,2.22,0.83%,0.02%,627,--,--,0.00,0.00%,0.00%,--,--,--,--,,
104,ADSE,556.43M ,543.69M ,-- ,-- ,-- ,4.67 ,15.18 ,4.70 ,-0.74 ,12/31/2023,12/31/2023,-51.29%,-34.14%,-20.65%,-96.07%,107.38M,2.19,306.50%,--,-39.83M,-55.08M,-1.22,--,29.16M,0.58,17.34M,51.13%,1.48,0.67,-20.66M,-18.23M,0.46,22.60%,36.43k,37.62k,50.58M,50.58M,16.11M,76.7k,2.55,0.35%,0.15%,146.79k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
105,ADSEW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,-51.29%,-34.14%,-20.65%,-96.07%,107.38M,2.19,306.50%,--,-39.83M,-55.08M,-100.8340,--,29.16M,0.58,17.34M,51.13%,1.48,-429.66,-20.66M,-18.23M,0.46,22.60%,--,--,--,--,16.11M,,,,,,--,--,--,--,--,--,--,--,--,,
106,ADSK,46.68B ,47.30B ,47.44 ,26.95 ,1.30 ,8.36 ,21.60 ,8.38 ,34.88 ,1/31/2024,4/30/2024,17.66%,21.10%,8.00%,65.21%,5.65B,26.38,11.70%,--,1.32B,997M,4.60,56.50%,1.99B,9.21,2.61B,120.96%,0.69,10.01,1.08B,1.59B,--,22.60%,1.87M,3.32M,213.92M,214.32M,215.39M,2.11M,1.06,0.99%,0.99%,2.22M,--,--,0.00,0.00%,0.00%,--,3/22/2005,2:1,12/21/2004,,
